;;Ge_ffnete Beherbergungsbetriebe;Angebotene G_stebetten;G_steÙbernachtungen;G_steankÙnfte
11;  Berlin;794;125166;24896201;10848797
11001;        Berlin-Mitte;167;45957;9820455;4422480
11002;        Berlin-Friedrichshain-Kreuzberg;87;15534;3174638;1365132
11003;        Berlin-Pankow;56;6174;1265162;502611
11004;        Berlin-Charlottenburg-Wilmersdorf;205;26677;5335776;2254248
11005;        Berlin-Spandau;32;2674;464625;213552
11006;        Berlin-Steglitz-Zehlendorf;43;3199;481103;198334
11007;        Berlin-Tempelhof-Sch_neberg;52;7181;1495992;650326
11008;        Berlin-Neuk_lln;25;4502;641511;287702
11009;        Berlin-Treptow-K_penick;42;3777;560309;241386
11010;        Berlin-Marzahn-Hellersdorf;21;1314;171015;67701
11011;        Berlin-Lichtenberg;27;4602;840600;369342
11012;        Berlin-Reinickendorf;37;3575;645015;275983
